Folder,Opponent,Outcome,Player,Max Tick % used,Game Length
500052\1620288112.500052.606fbd4eb6822e5c6fb6ae8cv606fc6dab6822e5c6fb6d97b-189453-quizzical_margulis-0f19f3e94210446393d56f87dd64ef8b\agent_a,Totoro,Win,Wizard,12.02,2005
500052\1620288112.500052.606fbd4eb6822e5c6fb6ae8cv606fc6dab6822e5c6fb6d97b-32323-epic_einstein-1c48c9aad9564c50a01532688d29846d\agent_a,Totoro,Win,Wizard,12.94,2101
500052\1620288112.500052.606fbd4eb6822e5c6fb6ae8cv606fc6dab6822e5c6fb6d97b-3333333-reverent_rubin-7106991133d9473a950e80decbd370c6\agent_a,Totoro,Loss,Wizard,14.67,2160
500052\1620288112.500052.606fbd4eb6822e5c6fb6ae8cv606fc6dab6822e5c6fb6d97b-38451235-trusting_mestorf-7afd889b6525499d844acca8a90cbcd3\agent_a,Totoro,Win,Wizard,6.06,2162
500052\1620288112.500052.606fbd4eb6822e5c6fb6ae8cv606fc6dab6822e5c6fb6d97b-48914356-nervous_rosalind-e2e02547a12b4efc89f3cd04d1c139eb\agent_a,Totoro,Win,Wizard,9.7,2115
501816\1620288112.501816.606fbd4eb6822e5c6fb6ae8cv60742fdcfe369382b2bc27cb-189453-jolly_kapitsa-4dc75bfc290143c5948d64bf986942a0\agent_a,Die Jigglybluff,Loss,Wizard,13.1,2125
501816\1620288112.501816.606fbd4eb6822e5c6fb6ae8cv60742fdcfe369382b2bc27cb-32323-stupefied_chandrasekhar-1e4957676db44ac6bc5ec646d21ed8f7\agent_a,Die Jigglybluff,Win,Wizard,15.34,2077
501816\1620288112.501816.606fbd4eb6822e5c6fb6ae8cv60742fdcfe369382b2bc27cb-3333333-youthful_chatelet-11973f6142fd44ff825b1e0f5817aa76\agent_a,Die Jigglybluff,Win,Wizard,14.78,2130
501816\1620288112.501816.606fbd4eb6822e5c6fb6ae8cv60742fdcfe369382b2bc27cb-38451235-serene_hoover-8899141c3162485893d016da96d3763c\agent_a,Die Jigglybluff,Win,Knight,11.9,1056
501816\1620288112.501816.606fbd4eb6822e5c6fb6ae8cv60742fdcfe369382b2bc27cb-48914356-vibrant_jennings-e8bfb3fd9f114990ad2872b9ab68c576\agent_a,Die Jigglybluff,Win,Knight,10.86,599
477548\1620288112.477548.606f1acfb6822e5c6fb3d822v606fbd4eb6822e5c6fb6ae8c-189453-epic_tharp-43fc14f8c6a348d293cfe6f95b2e1c3f\agent_b,Wigglyblob,Loss,Knight,9.74,763
477548\1620288112.477548.606f1acfb6822e5c6fb3d822v606fbd4eb6822e5c6fb6ae8c-32323-gifted_kirch-61dfa4fdefb1499cbd4e82abd350b759\agent_b,Wigglyblob,Loss,Knight,10.16,305
477548\1620288112.477548.606f1acfb6822e5c6fb3d822v606fbd4eb6822e5c6fb6ae8c-3333333-quirky_moser-1e79c23bf3764edfaed67ff98fe33883\agent_b,Wigglyblob,Win,Wizard,17.81,2036
477548\1620288112.477548.606f1acfb6822e5c6fb3d822v606fbd4eb6822e5c6fb6ae8c-38451235-amazing_lovelace-b8921a77700f4911bb3db0415f059f4b\agent_b,Wigglyblob,Loss,Knight,13.14,1813
477548\1620288112.477548.606f1acfb6822e5c6fb3d822v606fbd4eb6822e5c6fb6ae8c-48914356-reverent_satoshi-4514245c06d248559838472c8fd9d16f\agent_b,Wigglyblob,Loss,Wizard,11.83,863
50237\1620288112.50237.606fbd4eb6822e5c6fb6ae8cv607733aefe369382b2c87c35-189453-stupefied_hofstadter-3ccd66b786ba4b558898ffb139375855\agent_a,Ascend,Loss,Knight,16.45,2190
50237\1620288112.50237.606fbd4eb6822e5c6fb6ae8cv607733aefe369382b2c87c35-32323-suspicious_engelbart-6f9c3e2a76c54d11893fa9e8b8e39f87\agent_a,Ascend,Loss,Wizard,15.36,2070
50237\1620288112.50237.606fbd4eb6822e5c6fb6ae8cv607733aefe369382b2c87c35-3333333-affectionate_wilbur-8f6cf5728a89491aae6861618bdae269\agent_a,Ascend,Loss,Wizard,16.23,2041
50237\1620288112.50237.606fbd4eb6822e5c6fb6ae8cv607733aefe369382b2c87c35-38451235-strange_pascal-4b43abd2e5f64f0bae32979fbbcb7328\agent_a,Ascend,Tie,Knight,16.53,2197
50237\1620288112.50237.606fbd4eb6822e5c6fb6ae8cv607733aefe369382b2c87c35-48914356-great_kowalevski-404a75bd78f04e18a83a2e51ec214974\agent_a,Ascend,Loss,Wizard,18.39,2030
